epoch,pl_e,pl_n,pl_u,seconds from start,minutes from start
1203968722,3.51174328,3.63454178,5.703471146,442,7.37
1203968723,3.505856145,3.629796168,5.695081826,443,7.38
1203968724,3.50007443,3.625197134,5.687100634,444,7.40
1203968725,3.494376139,3.621488936,5.679088271,445,7.42
1203968726,3.488590809,3.617139697,5.670786508,446,7.43
1203968727,3.482850589,3.61273648,5.66255287,447,7.45
1203968728,3.477155837,3.608381468,5.654347018,448,7.47
1203968729,3.472810497,3.604934203,5.647189979,449,7.48
1203968730,3.467914705,3.601109682,5.639958169,450,7.50
1203968731,3.463167464,3.597394035,5.63276,451,7.52
1203968732,3.45843151,3.593686334,5.625588123,452,7.53
1203968733,3.453709348,3.589986945,5.61843792,453,7.55
1203968734,3.449002032,3.586295825,5.61130524,454,7.57
1203968735,3.444845719,3.583048469,5.604935235,455,7.58
1203968736,3.440402013,3.579458576,5.598469029,456,7.60
1203968737,3.436075379,3.575864804,5.592372479,457,7.62
1203968738,3.433191714,3.572468781,5.588347059,458,7.63
1203968739,3.42919143,3.569065869,5.58386957,459,7.65
1203968740,3.425976396,3.565824118,5.578824934,460,7.67
1203968741,3.421782951,3.562570396,5.573415985,461,7.68
1203968742,3.416985816,3.558800031,5.568026399,462,7.70
1203968743,3.412226538,3.555166601,5.563029137,463,7.72
1203968744,3.407758791,3.551676689,5.557821109,464,7.73
1203968745,3.403337754,3.548157918,5.552675715,465,7.75
1203968746,3.398970666,3.544658481,5.547519751,466,7.77
1203968747,3.394601513,3.541020072,5.542040095,467,7.78
1203968748,3.390010155,3.537544781,5.536389895,468,7.80
1203968749,3.385620015,3.534124725,5.530666248,469,7.82
1203968750,3.381405369,3.530679441,5.525492045,470,7.83
1203968751,3.3770572,3.527213916,5.520267215,471,7.85
1203968752,3.379242939,3.525082007,5.538964903,472,7.87
1203968753,3.377593184,3.527744501,5.526345798,473,7.88
1203968754,3.366634171,3.521946228,5.512558852,474,7.90
1203968755,3.361424709,3.518368927,5.506747255,475,7.92
1203968756,3.356721271,3.515449518,5.501943462,476,7.93
1203968757,3.352295146,3.512663274,5.4974381,477,7.95
